county_name,md_count_year,md_allergy_count,md_anesth_count,md_card_count,md_derm_count,md_emerg_med_count,md_fammed_count,md_gastr_count,md_genintmed_count,md_gen_surg_count,md_neuro_count,md_obgyn_count,md_ophth_count,md_psych_count,md_spec_count,md_surg_spec_count,all_gp_md_count,md_child_psych_count,md_gen_ped_count,census_year,census_count,popn_est_year,popn_est_count
Androscoggin,2018,0,9,4,2,23,42,7,27,21,2,5,4,3,83,47,44,1,14,2020,111139,2022,113023
Androscoggin,2018,0,9,4,2,23,42,7,27,21,2,5,4,3,83,47,44,1,14,2020,111139,2021,111034
Androscoggin,2018,0,9,4,2,23,42,7,27,21,2,5,4,3,83,47,44,1,14,2010,107702,2022,113023
Androscoggin,2018,0,9,4,2,23,42,7,27,21,2,5,4,3,83,47,44,1,14,2010,107702,2021,111034
Androscoggin,2015,1,9,6,2,18,45,6,27,21,2,5,4,3,85,49,46,1,12,2020,111139,2022,113023
Androscoggin,2015,1,9,6,2,18,45,6,27,21,2,5,4,3,85,49,46,1,12,2020,111139,2021,111034
Androscoggin,2015,1,9,6,2,18,45,6,27,21,2,5,4,3,85,49,46,1,12,2010,107702,2022,113023
Androscoggin,2015,1,9,6,2,18,45,6,27,21,2,5,4,3,85,49,46,1,12,2010,107702,2021,111034
Androscoggin,2010,1,7,8,2,14,54,5,31,14,6,7,4,6,80,45,54,5,5,2020,111139,2022,113023
Androscoggin,2010,1,7,8,2,14,54,5,31,14,6,7,4,6,80,45,54,5,5,2020,111139,2021,111034
Androscoggin,2010,1,7,8,2,14,54,5,31,14,6,7,4,6,80,45,54,5,5,2010,107702,2022,113023
Androscoggin,2010,1,7,8,2,14,54,5,31,14,6,7,4,6,80,45,54,5,5,2010,107702,2021,111034
Aroostook,2018,0,6,2,1,9,30,0,22,9,1,12,3,2,48,34,33,4,13,2020,67105,2022,67255
Aroostook,2018,0,6,2,1,9,30,0,22,9,1,12,3,2,48,34,33,4,13,2020,67105,2021,66859
Aroostook,2018,0,6,2,1,9,30,0,22,9,1,12,3,2,48,34,33,4,13,2010,71870,2022,67255
Aroostook,2018,0,6,2,1,9,30,0,22,9,1,12,3,2,48,34,33,4,13,2010,71870,2021,66859
Aroostook,2015,0,2,2,0,8,27,0,21,8,1,12,5,2,44,34,29,2,10,2020,67105,2022,67255
Aroostook,2015,0,2,2,0,8,27,0,21,8,1,12,5,2,44,34,29,2,10,2020,67105,2021,66859
Aroostook,2015,0,2,2,0,8,27,0,21,8,1,12,5,2,44,34,29,2,10,2010,71870,2022,67255
Aroostook,2015,0,2,2,0,8,27,0,21,8,1,12,5,2,44,34,29,2,10,2010,71870,2021,66859
Aroostook,2010,0,3,2,0,7,31,0,18,13,2,8,4,2,33,36,33,3,8,2020,67105,2022,67255
Aroostook,2010,0,3,2,0,7,31,0,18,13,2,8,4,2,33,36,33,3,8,2020,67105,2021,66859
Aroostook,2010,0,3,2,0,7,31,0,18,13,2,8,4,2,33,36,33,3,8,2010,71870,2022,67255
Aroostook,2010,0,3,2,0,7,31,0,18,13,2,8,4,2,33,36,33,3,8,2010,71870,2021,66859
Cumberland,2018,7,89,53,20,130,168,21,200,99,24,75,20,110,590,311,185,28,101,2020,303069,2022,307451
Cumberland,2018,7,89,53,20,130,168,21,200,99,24,75,20,110,590,311,185,28,101,2020,303069,2021,305231
Cumberland,2018,7,89,53,20,130,168,21,200,99,24,75,20,110,590,311,185,28,101,2010,281674,2022,307451
Cumberland,2018,7,89,53,20,130,168,21,200,99,24,75,20,110,590,311,185,28,101,2010,281674,2021,305231
Cumberland,2015,7,87,47,22,121,157,20,206,86,20,73,21,110,563,294,174,27,89,2020,303069,2022,307451
Cumberland,2015,7,87,47,22,121,157,20,206,86,20,73,21,110,563,294,174,27,89,2020,303069,2021,305231
Cumberland,2015,7,87,47,22,121,157,20,206,86,20,73,21,110,563,294,174,27,89,2010,281674,2022,307451
Cumberland,2015,7,87,47,22,121,157,20,206,86,20,73,21,110,563,294,174,27,89,2010,281674,2021,305231
Cumberland,2010,6,84,48,15,92,136,16,184,68,22,64,25,114,519,258,146,21,101,2020,303069,2022,307451
Cumberland,2010,6,84,48,15,92,136,16,184,68,22,64,25,114,519,258,146,21,101,2020,303069,2021,305231
Cumberland,2010,6,84,48,15,92,136,16,184,68,22,64,25,114,519,258,146,21,101,2010,281674,2022,307451
Cumberland,2010,6,84,48,15,92,136,16,184,68,22,64,25,114,519,258,146,21,101,2010,281674,2021,305231
Franklin,2018,0,4,0,0,3,10,0,4,4,0,2,1,1,13,8,10,1,9,2020,29456,2022,30474
Franklin,2018,0,4,0,0,3,10,0,4,4,0,2,1,1,13,8,10,1,9,2020,29456,2021,29687
Franklin,2018,0,4,0,0,3,10,0,4,4,0,2,1,1,13,8,10,1,9,2010,30768,2022,30474
Franklin,2018,0,4,0,0,3,10,0,4,4,0,2,1,1,13,8,10,1,9,2010,30768,2021,29687
Franklin,2015,0,2,0,0,4,14,0,3,3,1,3,1,1,13,8,14,0,9,2020,29456,2022,30474
Franklin,2015,0,2,0,0,4,14,0,3,3,1,3,1,1,13,8,14,0,9,2020,29456,2021,29687
Franklin,2015,0,2,0,0,4,14,0,3,3,1,3,1,1,13,8,14,0,9,2010,30768,2022,30474
Franklin,2015,0,2,0,0,4,14,0,3,3,1,3,1,1,13,8,14,0,9,2010,30768,2021,29687
Franklin,2010,0,3,0,0,3,17,0,4,6,0,4,1,2,10,14,17,0,5,2020,29456,2022,30474
Franklin,2010,0,3,0,0,3,17,0,4,6,0,4,1,2,10,14,17,0,5,2020,29456,2021,29687
Franklin,2010,0,3,0,0,3,17,0,4,6,0,4,1,2,10,14,17,0,5,2010,30768,2022,30474
Franklin,2010,0,3,0,0,3,17,0,4,6,0,4,1,2,10,14,17,0,5,2010,30768,2021,29687
Hancock,2018,1,8,2,1,9,38,0,20,9,1,4,4,5,36,28,40,2,6,2020,55478,2022,56701
Hancock,2018,1,8,2,1,9,38,0,20,9,1,4,4,5,36,28,40,2,6,2020,55478,2021,56192
Hancock,2018,1,8,2,1,9,38,0,20,9,1,4,4,5,36,28,40,2,6,2010,54418,2022,56701
Hancock,2018,1,8,2,1,9,38,0,20,9,1,4,4,5,36,28,40,2,6,2010,54418,2021,56192
Hancock,2015,0,5,3,1,3,40,0,20,9,1,6,5,4,37,29,42,2,5,2020,55478,2022,56701
Hancock,2015,0,5,3,1,3,40,0,20,9,1,6,5,4,37,29,42,2,5,2020,55478,2021,56192
Hancock,2015,0,5,3,1,3,40,0,20,9,1,6,5,4,37,29,42,2,5,2010,54418,2022,56701
Hancock,2015,0,5,3,1,3,40,0,20,9,1,6,5,4,37,29,42,2,5,2010,54418,2021,56192
Hancock,2010,0,2,0,1,7,37,0,16,5,3,9,5,3,28,30,41,2,3,2020,55478,2022,56701
Hancock,2010,0,2,0,1,7,37,0,16,5,3,9,5,3,28,30,41,2,3,2020,55478,2021,56192
Hancock,2010,0,2,0,1,7,37,0,16,5,3,9,5,3,28,30,41,2,3,2010,54418,2022,56701
Hancock,2010,0,2,0,1,7,37,0,16,5,3,9,5,3,28,30,41,2,3,2010,54418,2021,56192
Kennebec,2018,0,12,7,4,12,91,8,26,13,7,7,5,10,81,42,101,3,13,2020,123642,2022,125540
Kennebec,2018,0,12,7,4,12,91,8,26,13,7,7,5,10,81,42,101,3,13,2020,123642,2021,124486
Kennebec,2018,0,12,7,4,12,91,8,26,13,7,7,5,10,81,42,101,3,13,2010,122151,2022,125540
Kennebec,2018,0,12,7,4,12,91,8,26,13,7,7,5,10,81,42,101,3,13,2010,122151,2021,124486
Kennebec,2015,0,12,7,2,9,99,7,30,15,8,7,6,13,80,47,109,4,15,2020,123642,2022,125540
Kennebec,2015,0,12,7,2,9,99,7,30,15,8,7,6,13,80,47,109,4,15,2020,123642,2021,124486
Kennebec,2015,0,12,7,2,9,99,7,30,15,8,7,6,13,80,47,109,4,15,2010,122151,2022,125540
Kennebec,2015,0,12,7,2,9,99,7,30,15,8,7,6,13,80,47,109,4,15,2010,122151,2021,124486
Kennebec,2010,1,11,4,1,12,86,6,31,16,3,9,6,20,76,55,91,4,11,2020,123642,2022,125540
Kennebec,2010,1,11,4,1,12,86,6,31,16,3,9,6,20,76,55,91,4,11,2020,123642,2021,124486
Kennebec,2010,1,11,4,1,12,86,6,31,16,3,9,6,20,76,55,91,4,11,2010,122151,2022,125540
Kennebec,2010,1,11,4,1,12,86,6,31,16,3,9,6,20,76,55,91,4,11,2010,122151,2021,124486
Knox,2018,0,3,3,2,11,16,2,13,5,3,4,5,7,32,23,16,2,6,2020,40607,2022,41164
Knox,2018,0,3,3,2,11,16,2,13,5,3,4,5,7,32,23,16,2,6,2020,40607,2021,41084
Knox,2018,0,3,3,2,11,16,2,13,5,3,4,5,7,32,23,16,2,6,2010,39736,2022,41164
Knox,2018,0,3,3,2,11,16,2,13,5,3,4,5,7,32,23,16,2,6,2010,39736,2021,41084
Knox,2015,0,4,2,0,9,14,1,13,5,4,5,5,7,31,26,14,3,6,2020,40607,2022,41164
Knox,2015,0,4,2,0,9,14,1,13,5,4,5,5,7,31,26,14,3,6,2020,40607,2021,41084
Knox,2015,0,4,2,0,9,14,1,13,5,4,5,5,7,31,26,14,3,6,2010,39736,2022,41164
Knox,2015,0,4,2,0,9,14,1,13,5,4,5,5,7,31,26,14,3,6,2010,39736,2021,41084
Knox,2010,0,4,1,0,8,15,1,13,6,3,4,4,6,33,25,15,3,10,2020,40607,2022,41164
Knox,2010,0,4,1,0,8,15,1,13,6,3,4,4,6,33,25,15,3,10,2020,40607,2021,41084
Knox,2010,0,4,1,0,8,15,1,13,6,3,4,4,6,33,25,15,3,10,2010,39736,2022,41164
Knox,2010,0,4,1,0,8,15,1,13,6,3,4,4,6,33,25,15,3,10,2010,39736,2021,41084
Lincoln,2018,0,2,0,0,7,24,0,9,1,0,2,1,2,17,12,24,0,3,2020,35237,2022,36215
Lincoln,2018,0,2,0,0,7,24,0,9,1,0,2,1,2,17,12,24,0,3,2020,35237,2021,35828
Lincoln,2018,0,2,0,0,7,24,0,9,1,0,2,1,2,17,12,24,0,3,2010,34457,2022,36215
Lincoln,2018,0,2,0,0,7,24,0,9,1,0,2,1,2,17,12,24,0,3,2010,34457,2021,35828
Lincoln,2015,0,2,0,0,6,23,0,9,1,0,1,1,2,18,9,23,0,4,2020,35237,2022,36215
Lincoln,2015,0,2,0,0,6,23,0,9,1,0,1,1,2,18,9,23,0,4,2020,35237,2021,35828
Lincoln,2015,0,2,0,0,6,23,0,9,1,0,1,1,2,18,9,23,0,4,2010,34457,2022,36215
Lincoln,2015,0,2,0,0,6,23,0,9,1,0,1,1,2,18,9,23,0,4,2010,34457,2021,35828
Lincoln,2010,0,2,0,0,4,25,0,9,3,0,2,1,5,16,16,26,0,4,2020,35237,2022,36215
Lincoln,2010,0,2,0,0,4,25,0,9,3,0,2,1,5,16,16,26,0,4,2020,35237,2021,35828
Lincoln,2010,0,2,0,0,4,25,0,9,3,0,2,1,5,16,16,26,0,4,2010,34457,2022,36215
Lincoln,2010,0,2,0,0,4,25,0,9,3,0,2,1,5,16,16,26,0,4,2010,34457,2021,35828
Oxford,2018,0,0,1,0,5,14,0,8,6,0,7,1,0,15,16,14,0,4,2020,57777,2022,59495
Oxford,2018,0,0,1,0,5,14,0,8,6,0,7,1,0,15,16,14,0,4,2020,57777,2021,58629
Oxford,2018,0,0,1,0,5,14,0,8,6,0,7,1,0,15,16,14,0,4,2010,57833,2022,59495
Oxford,2018,0,0,1,0,5,14,0,8,6,0,7,1,0,15,16,14,0,4,2010,57833,2021,58629
Oxford,2015,0,1,1,0,3,15,0,8,8,0,5,1,0,13,16,16,0,4,2020,57777,2022,59495
Oxford,2015,0,1,1,0,3,15,0,8,8,0,5,1,0,13,16,16,0,4,2020,57777,2021,58629
Oxford,2015,0,1,1,0,3,15,0,8,8,0,5,1,0,13,16,16,0,4,2010,57833,2022,59495
Oxford,2015,0,1,1,0,3,15,0,8,8,0,5,1,0,13,16,16,0,4,2010,57833,2021,58629
Oxford,2010,0,0,0,0,3,11,0,9,5,0,6,1,1,13,13,12,0,4,2020,57777,2022,59495
Oxford,2010,0,0,0,0,3,11,0,9,5,0,6,1,1,13,13,12,0,4,2020,57777,2021,58629
Oxford,2010,0,0,0,0,3,11,0,9,5,0,6,1,1,13,13,12,0,4,2010,57833,2022,59495
Oxford,2010,0,0,0,0,3,11,0,9,5,0,6,1,1,13,13,12,0,4,2010,57833,2021,58629
Penobscot,2018,2,26,15,3,29,80,8,66,27,9,15,12,29,188,96,82,2,26,2020,152199,2022,153704
Penobscot,2018,2,26,15,3,29,80,8,66,27,9,15,12,29,188,96,82,2,26,2020,152199,2021,152765
Penobscot,2018,2,26,15,3,29,80,8,66,27,9,15,12,29,188,96,82,2,26,2010,153923,2022,153704
Penobscot,2018,2,26,15,3,29,80,8,66,27,9,15,12,29,188,96,82,2,26,2010,153923,2021,152765
Penobscot,2015,1,31,14,4,21,79,11,66,26,12,14,9,26,190,90,82,4,30,2020,152199,2022,153704
Penobscot,2015,1,31,14,4,21,79,11,66,26,12,14,9,26,190,90,82,4,30,2020,152199,2021,152765
Penobscot,2015,1,31,14,4,21,79,11,66,26,12,14,9,26,190,90,82,4,30,2010,153923,2022,153704
Penobscot,2015,1,31,14,4,21,79,11,66,26,12,14,9,26,190,90,82,4,30,2010,153923,2021,152765
Penobscot,2010,1,34,14,4,16,71,8,59,26,11,12,8,23,171,83,73,4,31,2020,152199,2022,153704
Penobscot,2010,1,34,14,4,16,71,8,59,26,11,12,8,23,171,83,73,4,31,2020,152199,2021,152765
Penobscot,2010,1,34,14,4,16,71,8,59,26,11,12,8,23,171,83,73,4,31,2010,153923,2022,153704
Penobscot,2010,1,34,14,4,16,71,8,59,26,11,12,8,23,171,83,73,4,31,2010,153923,2021,152765
Piscataquis,2018,0,2,0,0,2,7,0,3,2,0,2,1,2,3,9,7,1,0,2020,16800,2022,17417
Piscataquis,2018,0,2,0,0,2,7,0,3,2,0,2,1,2,3,9,7,1,0,2020,16800,2021,17165
Piscataquis,2018,0,2,0,0,2,7,0,3,2,0,2,1,2,3,9,7,1,0,2010,17535,2022,17417
Piscataquis,2018,0,2,0,0,2,7,0,3,2,0,2,1,2,3,9,7,1,0,2010,17535,2021,17165
Piscataquis,2015,0,1,0,0,2,9,0,4,4,0,2,1,1,5,10,10,0,1,2020,16800,2022,17417
Piscataquis,2015,0,1,0,0,2,9,0,4,4,0,2,1,1,5,10,10,0,1,2020,16800,2021,17165
Piscataquis,2015,0,1,0,0,2,9,0,4,4,0,2,1,1,5,10,10,0,1,2010,17535,2022,17417
Piscataquis,2015,0,1,0,0,2,9,0,4,4,0,2,1,1,5,10,10,0,1,2010,17535,2021,17165
Piscataquis,2010,0,1,0,0,2,7,0,3,3,0,2,1,1,4,10,10,0,1,2020,16800,2022,17417
Piscataquis,2010,0,1,0,0,2,7,0,3,3,0,2,1,1,4,10,10,0,1,2020,16800,2021,17165
Piscataquis,2010,0,1,0,0,2,7,0,3,3,0,2,1,1,4,10,10,0,1,2010,17535,2022,17417
Piscataquis,2010,0,1,0,0,2,7,0,3,3,0,2,1,1,4,10,10,0,1,2010,17535,2021,17165
Sagadahoc,2018,0,5,0,0,2,5,1,11,1,0,0,2,1,20,4,7,0,4,2020,36699,2022,37393
Sagadahoc,2018,0,5,0,0,2,5,1,11,1,0,0,2,1,20,4,7,0,4,2020,36699,2021,37071
Sagadahoc,2018,0,5,0,0,2,5,1,11,1,0,0,2,1,20,4,7,0,4,2010,35293,2022,37393
Sagadahoc,2018,0,5,0,0,2,5,1,11,1,0,0,2,1,20,4,7,0,4,2010,35293,2021,37071
Sagadahoc,2015,0,3,0,0,1,6,1,13,1,0,0,2,1,19,6,7,0,3,2020,36699,2022,37393
Sagadahoc,2015,0,3,0,0,1,6,1,13,1,0,0,2,1,19,6,7,0,3,2020,36699,2021,37071
Sagadahoc,2015,0,3,0,0,1,6,1,13,1,0,0,2,1,19,6,7,0,3,2010,35293,2022,37393
Sagadahoc,2015,0,3,0,0,1,6,1,13,1,0,0,2,1,19,6,7,0,3,2010,35293,2021,37071
Sagadahoc,2010,0,2,0,0,0,6,2,14,0,0,1,2,3,19,5,8,2,1,2020,36699,2022,37393
Sagadahoc,2010,0,2,0,0,0,6,2,14,0,0,1,2,3,19,5,8,2,1,2020,36699,2021,37071
Sagadahoc,2010,0,2,0,0,0,6,2,14,0,0,1,2,3,19,5,8,2,1,2010,35293,2022,37393
Sagadahoc,2010,0,2,0,0,0,6,2,14,0,0,1,2,3,19,5,8,2,1,2010,35293,2021,37071
Somerset,2018,0,4,0,0,3,16,1,9,2,0,1,2,2,14,9,16,0,3,2020,50477,2022,51098
Somerset,2018,0,4,0,0,3,16,1,9,2,0,1,2,2,14,9,16,0,3,2020,50477,2021,50592
Somerset,2018,0,4,0,0,3,16,1,9,2,0,1,2,2,14,9,16,0,3,2010,52228,2022,51098
Somerset,2018,0,4,0,0,3,16,1,9,2,0,1,2,2,14,9,16,0,3,2010,52228,2021,50592
Somerset,2015,0,3,0,0,3,18,2,12,4,0,1,0,1,18,10,18,0,3,2020,50477,2022,51098
Somerset,2015,0,3,0,0,3,18,2,12,4,0,1,0,1,18,10,18,0,3,2020,50477,2021,50592
Somerset,2015,0,3,0,0,3,18,2,12,4,0,1,0,1,18,10,18,0,3,2010,52228,2022,51098
Somerset,2015,0,3,0,0,3,18,2,12,4,0,1,0,1,18,10,18,0,3,2010,52228,2021,50592
Somerset,2010,0,2,0,0,2,22,1,11,4,0,1,1,1,14,12,23,0,2,2020,50477,2022,51098
Somerset,2010,0,2,0,0,2,22,1,11,4,0,1,1,1,14,12,23,0,2,2020,50477,2021,50592
Somerset,2010,0,2,0,0,2,22,1,11,4,0,1,1,1,14,12,23,0,2,2010,52228,2022,51098
Somerset,2010,0,2,0,0,2,22,1,11,4,0,1,1,1,14,12,23,0,2,2010,52228,2021,50592
Waldo,2018,0,4,1,0,7,19,0,5,2,2,2,1,3,11,10,19,1,3,2020,39607,2022,40241
Waldo,2018,0,4,1,0,7,19,0,5,2,2,2,1,3,11,10,19,1,3,2020,39607,2021,39912
Waldo,2018,0,4,1,0,7,19,0,5,2,2,2,1,3,11,10,19,1,3,2010,38786,2022,40241
Waldo,2018,0,4,1,0,7,19,0,5,2,2,2,1,3,11,10,19,1,3,2010,38786,2021,39912
Waldo,2015,0,2,1,0,7,18,0,5,3,1,2,1,3,13,11,18,1,4,2020,39607,2022,40241
Waldo,2015,0,2,1,0,7,18,0,5,3,1,2,1,3,13,11,18,1,4,2020,39607,2021,39912
Waldo,2015,0,2,1,0,7,18,0,5,3,1,2,1,3,13,11,18,1,4,2010,38786,2022,40241
Waldo,2015,0,2,1,0,7,18,0,5,3,1,2,1,3,13,11,18,1,4,2010,38786,2021,39912
Waldo,2010,0,4,1,0,9,17,1,4,5,1,3,1,5,12,14,17,2,4,2020,39607,2022,40241
Waldo,2010,0,4,1,0,9,17,1,4,5,1,3,1,5,12,14,17,2,4,2020,39607,2021,39912
Waldo,2010,0,4,1,0,9,17,1,4,5,1,3,1,5,12,14,17,2,4,2010,38786,2022,40241
Waldo,2010,0,4,1,0,9,17,1,4,5,1,3,1,5,12,14,17,2,4,2010,38786,2021,39912
Washington,2018,0,2,0,0,3,9,1,3,5,0,2,0,1,8,10,10,0,1,2020,31095,2022,31437
Washington,2018,0,2,0,0,3,9,1,3,5,0,2,0,1,8,10,10,0,1,2020,31095,2021,31121
Washington,2018,0,2,0,0,3,9,1,3,5,0,2,0,1,8,10,10,0,1,2010,32856,2022,31437
Washington,2018,0,2,0,0,3,9,1,3,5,0,2,0,1,8,10,10,0,1,2010,32856,2021,31121
Washington,2015,0,1,0,0,3,9,2,1,3,0,2,0,1,7,8,10,0,3,2020,31095,2022,31437
Washington,2015,0,1,0,0,3,9,2,1,3,0,2,0,1,7,8,10,0,3,2020,31095,2021,31121
Washington,2015,0,1,0,0,3,9,2,1,3,0,2,0,1,7,8,10,0,3,2010,32856,2022,31437
Washington,2015,0,1,0,0,3,9,2,1,3,0,2,0,1,7,8,10,0,3,2010,32856,2021,31121
Washington,2010,0,4,0,0,1,8,0,5,5,0,1,0,2,8,12,9,0,1,2020,31095,2022,31437
Washington,2010,0,4,0,0,1,8,0,5,5,0,1,0,2,8,12,9,0,1,2020,31095,2021,31121
Washington,2010,0,4,0,0,1,8,0,5,5,0,1,0,2,8,12,9,0,1,2010,32856,2022,31437
Washington,2010,0,4,0,0,1,8,0,5,5,0,1,0,2,8,12,9,0,1,2010,32856,2021,31121
York,2018,1,12,7,0,17,52,1,42,14,6,9,6,9,85,47,53,4,17,2020,211972,2022,216732
York,2018,1,12,7,0,17,52,1,42,14,6,9,6,9,85,47,53,4,17,2020,211972,2021,214591
York,2018,1,12,7,0,17,52,1,42,14,6,9,6,9,85,47,53,4,17,2010,197131,2022,216732
York,2018,1,12,7,0,17,52,1,42,14,6,9,6,9,85,47,53,4,17,2010,197131,2021,214591
York,2015,1,15,6,0,14,53,2,44,11,7,13,7,8,92,50,54,4,20,2020,211972,2022,216732
York,2015,1,15,6,0,14,53,2,44,11,7,13,7,8,92,50,54,4,20,2020,211972,2021,214591
York,2015,1,15,6,0,14,53,2,44,11,7,13,7,8,92,50,54,4,20,2010,197131,2022,216732
York,2015,1,15,6,0,14,53,2,44,11,7,13,7,8,92,50,54,4,20,2010,197131,2021,214591
York,2010,1,14,9,0,15,53,3,36,13,5,15,7,9,85,58,56,2,19,2020,211972,2022,216732
